player_id,player_name,age,season,game_num,date,team,opponent,home_away_status,result,G,A,P,rating,PIM,EVG,PPG,SHG,GWG,EVA,PPA,SHA,S,S_perc,shifts,TOI,HIT,BLK,FOW,FOL,FOW_perc
/a/addisca01,Calen Addison,20,2021,1,2021-02-16,MIN,LAK,0,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,21,19.683333333333334,0,1,0,0,
/a/addisca01,Calen Addison,20,2021,2,2021-02-18,MIN,ANA,0,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,20,17.466666666666665,1,0,0,0,
/a/addisca01,Calen Addison,20,2021,3,2021-02-20,MIN,ANA,0,W,0,0,0,2,0,0,0,0,0,0,0,0,2,0.0,21,18.4,1,0,0,0,
/a/agostke01,Kenny Agostino,28,2021,1,2021-03-11,TOR,WPG,1,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,4.133333333333334,0,0,0,0,
/a/agozzan01,Andrew Agozzino,30,2021,1,2021-01-31,ANA,STL,1,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,16.0,3,6,10,8,55.6
/a/agozzan01,Andrew Agozzino,30,2021,2,2021-03-29,ANA,COL,0,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,16,9.5,1,0,3,2,60.0
/a/agozzan01,Andrew Agozzino,30,2021,3,2021-04-12,ANA,SJS,0,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,14,11.033333333333333,2,1,3,6,33.3
/a/ahcanja01,Jack Ahcan,23,2021,1,2021-03-18,BOS,BUF,0,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,25,17.916666666666668,1,2,0,0,
/a/ahcanja01,Jack Ahcan,23,2021,2,2021-04-11,BOS,WSH,1,L,0,0,0,-3,0,0,0,0,0,0,0,0,1,0.0,25,21.4,1,1,0,0,
/a/ahcanja01,Jack Ahcan,23,2021,3,2021-05-11,BOS,WSH,0,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,23,22.6,0,2,0,0,
/a/ahose01,Sebastian Aho,23,2021,1,2021-01-14,CAR,DET,0,W,0,1,1,2,0,0,0,0,0,1,0,0,2,0.0,24,19.55,0,1,8,5,61.5
/a/ahose01,Sebastian Aho,23,2021,2,2021-01-16,CAR,DET,0,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,26,19.85,1,0,7,12,36.8
/a/ahose01,Sebastian Aho,23,2021,3,2021-01-18,CAR,NSH,0,W,1,1,2,1,0,1,0,0,1,0,1,0,3,33.3,27,18.95,0,0,8,8,50.0
/a/ahose01,Sebastian Aho,23,2021,4,2021-01-28,CAR,TBL,1,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,24,20.1,0,0,1,9,10.0
/a/ahose01,Sebastian Aho,23,2021,5,2021-01-30,CAR,DAL,1,W,0,2,2,0,4,0,0,0,0,0,2,0,2,0.0,27,19.983333333333334,1,1,6,5,54.5
/a/ahose01,Sebastian Aho,23,2021,6,2021-01-31,CAR,DAL,1,W,0,1,1,-1,0,0,0,0,0,0,1,0,1,0.0,30,21.266666666666666,0,1,6,8,42.9
/a/ahose01,Sebastian Aho,23,2021,7,2021-02-02,CAR,CHI,0,W,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,24,20.6,1,0,8,8,50.0
/a/ahose01,Sebastian Aho,23,2021,8,2021-02-04,CAR,CHI,0,L,1,1,2,1,0,1,0,0,0,1,0,0,4,25.0,25,19.366666666666667,1,0,10,6,62.5
/a/ahose01,Sebastian Aho,23,2021,9,2021-02-07,CAR,CBJ,0,W,0,1,1,0,2,0,0,0,0,1,0,0,1,0.0,27,20.366666666666667,0,0,7,7,50.0
/a/ahose01,Sebastian Aho,23,2021,10,2021-02-08,CAR,CBJ,0,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,23,19.483333333333334,0,1,6,10,37.5
/a/ahose01,Sebastian Aho,23,2021,11,2021-02-11,CAR,DAL,0,W,1,1,2,1,0,0,1,0,0,1,0,0,3,33.3,24,17.616666666666667,1,1,3,6,33.3
/a/ahose01,Sebastian Aho,23,2021,12,2021-02-13,CAR,DAL,0,W,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,24,18.3,0,0,6,5,54.5
/a/ahose01,Sebastian Aho,23,2021,13,2021-02-15,CAR,CBJ,1,W,1,1,2,3,0,1,0,0,0,1,0,0,5,20.0,20,12.616666666666667,0,2,8,6,57.1
/a/ahose01,Sebastian Aho,23,2021,14,2021-02-17,CAR,FLA,1,L-OT,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,24,17.8,0,0,7,5,58.3
/a/ahose01,Sebastian Aho,23,2021,15,2021-02-19,CAR,CHI,1,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,22,20.2,0,0,9,5,64.3
/a/ahose01,Sebastian Aho,23,2021,16,2021-02-20,CAR,TBL,1,W,1,1,2,2,2,1,0,0,0,1,0,0,2,50.0,21,16.716666666666665,0,1,6,6,50.0
/a/ahose01,Sebastian Aho,23,2021,17,2021-02-22,CAR,TBL,1,L,0,0,0,-2,2,0,0,0,0,0,0,0,0,,25,19.416666666666668,1,0,4,6,40.0
/a/ahose01,Sebastian Aho,23,2021,18,2021-02-24,CAR,TBL,0,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,20,18.9,0,1,6,1,85.7
/a/ahose01,Sebastian Aho,23,2021,19,2021-02-25,CAR,TBL,0,L,0,1,1,-1,0,0,0,0,0,1,0,0,3,0.0,27,21.48333333333333,1,0,5,5,50.0
/a/ahose01,Sebastian Aho,23,2021,20,2021-02-27,CAR,FLA,0,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,26,21.61666666666667,2,1,9,6,60.0
