player_id,cluster
rooneke01,grinder
rosenca01,defensive
rosloja01,skill
rossima01,grinder
roussan01,grinder
rowneca01,grinder
royma04,defensive
royni01,grinder
ruhwech01,defensive
ruotsar01,grinder
russekr01,defensive
rustbr01,skill
ruttaja02,defensive
ruzicad01,grinder
ryanbo01,grinder
ryande01,grinder
saadbr01,skill
saloro01,defensive
sambedy01,defensive
samuema02,defensive
sandeja01,defensive
sandira01,defensive
sanfoza01,grinder
sanhetr01,defensive
savarda01,defensive
scandma01,defensive
scevico01,grinder
scheima01,skill
schenbr01,skill
schenlu01,defensive
schmani01,skill
schmina01,defensive
schnebr01,defensive
schueco01,defensive
schulju01,defensive
schwaja01,skill
sedlalu01,grinder
seeleni01,defensive
seguity01,skill
seidemo01,defensive
sekeran01,defensive
sergami01,defensive
severda01,defensive
sharaye01,skill
shattke01,defensive
shawma01,grinder
sheahri01,grinder
shearco01,grinder
sherwki01,grinder
shorede01,grinder
siegejo01,defensive
silfvja01,grinder
sillico01,grinder
simekra01,defensive
simmowa01,grinder
simondo01,grinder
sissoco01,grinder
skinnje01,skill
skjeibr01,defensive
slafkju01,grinder
slavija01,defensive
smithbr05,defensive
smithco02,grinder
smithcr01,grinder
smithgi01,grinder
smithre01,skill
smithty01,defensive
soderca01,grinder
sodervi01,defensive
soucyca01,defensive
spencjo01,defensive
spezzja01,grinder
spronda01,grinder
spurgja01,defensive
staaler01,grinder
staaljo01,skill
staalma01,defensive
stamkst01,skill
stanllo01,defensive
stastpa01,grinder
stechtr01,defensive
steelsa01,grinder
steenos01,grinder
stenlke01,grinder
stepade01,grinder
stephch02,skill
stephmi01,grinder
stillri01,defensive
stonema01,skill
stonemi01,defensive
stralan01,defensive
stromdy01,skill
stromry01,skill
studema01,grinder
studnja01,grinder
stuetti02,skill
sturmni01,grinder
subbapk01,defensive
sundqos01,grinder
sustran01,grinder
suterpi01,grinder
suterry01,defensive
suttebr03,grinder
suzukni01,skill
svechan01,skill
svechev01,grinder
tanevbr01,grinder
tanevch01,defensive
tarasvl01,skill
tatarto01,grinder
tavarjo01,skill
teravte01,skill
