date,game_id,team,G,OT_flag,win_flag
2021-01-13,211,COL,1,,0
2021-01-13,212,EDM,3,,0
2021-01-13,213,PHI,6,,1
2021-01-13,214,TBL,5,,1
2021-01-13,215,TOR,5,OT,1
2021-01-14,216,ARI,3,SO,0
2021-01-14,217,BUF,4,,0
2021-01-14,218,DET,0,,0
2021-01-14,219,EDM,5,,1
2021-01-14,2110,LAK,3,OT,0
2021-01-14,2111,NJD,2,SO,0
2021-01-14,2112,NSH,3,,1
2021-01-14,2113,NYR,0,,0
2021-01-14,2114,VGK,5,,1
2021-01-14,2115,WPG,4,OT,1
2021-01-15,2116,BUF,1,,0
2021-01-15,2117,COL,8,,1
2021-01-15,2118,OTT,5,,1
2021-01-15,2119,PHI,5,,1
2021-01-15,2120,TBL,5,,1
2021-01-16,2121,ARI,5,,1
2021-01-16,2122,CGY,3,,1
2021-01-16,2123,DET,4,,1
2021-01-16,2124,EDM,1,,0
2021-01-16,2125,LAK,3,OT,0
2021-01-16,2126,NJD,2,OT,1
2021-01-16,2127,NSH,5,,1
2021-01-16,2128,NYR,5,,1
2021-01-16,2129,OTT,2,,0
2021-01-16,2130,VGK,2,OT,1
2021-01-17,2131,FLA,5,,1
2021-01-17,2132,PIT,4,SO,1
2021-01-18,2133,ANA,1,,1
2021-01-18,2134,CGY,5,,1
2021-01-18,2135,DET,2,,0
2021-01-18,2136,EDM,1,,0
2021-01-18,2137,NSH,2,,0
2021-01-18,2138,NYI,1,,1
2021-01-18,2139,PHI,1,,0
2021-01-18,2140,STL,5,,1
2021-01-18,2141,TOR,3,,1
2021-01-18,2142,VGK,4,,1
2021-01-19,2143,DET,3,OT,1
2021-01-19,2144,FLA,5,OT,1
2021-01-19,2145,LAK,2,,0
2021-01-19,2146,NYR,3,,0
2021-01-19,2147,OTT,3,OT,0
2021-01-19,2148,PHI,3,,1
2021-01-19,2149,PIT,5,OT,1
2021-01-20,2150,ANA,2,,0
2021-01-20,2151,STL,1,SO,0
2021-01-20,2152,TOR,1,,0
2021-01-20,2153,VAN,6,SO,1
2021-01-20,2154,VGK,5,,1
2021-01-21,2155,BOS,5,SO,1
2021-01-21,2156,CBJ,2,OT,0
2021-01-21,2157,LAK,4,,1
2021-01-21,2158,NYI,4,,1
2021-01-21,2159,OTT,1,,0
2021-01-21,2160,VAN,3,,0
2021-01-22,2161,ANA,2,OT,0
2021-01-22,2162,ARI,5,,1
2021-01-22,2163,CHI,4,,1
2021-01-22,2164,DAL,7,,1
2021-01-22,2165,MIN,4,,1
2021-01-22,2166,PIT,4,SO,1
2021-01-22,2167,TOR,4,,1
2021-01-22,2168,WSH,4,SO,1
2021-01-23,2169,BOS,6,,1
2021-01-23,2170,CBJ,5,,1
2021-01-23,2171,STL,4,,1
2021-01-23,2172,VAN,2,,0
2021-01-23,2173,WPG,6,,1
2021-01-24,2174,ANA,3,,1
2021-01-24,2175,ARI,0,,0
2021-01-24,2176,CGY,2,,0
2021-01-24,2177,CHI,6,,1
2021-01-24,2178,DAL,3,,1
2021-01-24,2179,MIN,3,,0
2021-01-24,2180,NJD,2,,1
2021-01-24,2181,PIT,3,,1
2021-01-24,2182,STL,3,,0
2021-01-24,2183,WPG,3,,0
2021-01-24,2184,WSH,3,SO,0
2021-01-25,2185,VAN,7,,1
2021-01-26,2186,ARI,0,,0
2021-01-26,2187,BOS,3,OT,1
2021-01-26,2188,BUF,3,,1
2021-01-26,2189,CBJ,3,SO,0
2021-01-26,2190,CGY,3,,0
2021-01-26,2191,COL,7,,1
2021-01-26,2192,DAL,2,OT,1
2021-01-26,2193,MIN,1,,0
2021-01-26,2194,NJD,3,,0
2021-01-26,2195,NSH,3,OT,1
2021-01-26,2196,VGK,4,SO,0
2021-01-26,2197,WPG,6,,1
2021-01-26,2198,WSH,3,,1
2021-01-27,2199,NSH,2,SO,1
2021-01-27,21100,VAN,5,,1
2021-01-28,21101,ARI,3,,1
2021-01-28,21102,BOS,4,,1
2021-01-28,21103,BUF,2,OT,0
2021-01-28,21104,CAR,1,OT,1
2021-01-28,21105,CBJ,3,SO,1
2021-01-28,21106,COL,3,,1
2021-01-28,21107,DAL,7,,1
2021-01-28,21108,EDM,3,,0
2021-01-28,21109,MIN,5,,1
2021-01-28,21110,MTL,4,,1
2021-01-28,21111,NJD,1,,0
2021-01-28,21112,VAN,4,,1
2021-01-28,21113,WSH,6,,1
2021-01-29,21114,CHI,1,,0
2021-01-30,21115,ANA,1,,0
2021-01-30,21116,BUF,4,SO,1
2021-01-30,21117,CAR,4,,1
2021-01-30,21118,DET,2,OT,0
2021-01-30,21119,EDM,4,OT,1
2021-01-30,21120,MIN,1,,0
2021-01-30,21121,MTL,0,,0
2021-01-30,21122,NYR,4,OT,0
2021-01-30,21123,PHI,3,OT,1
2021-01-30,21124,TBL,4,,1
2021-01-30,21125,WPG,1,,0
2021-01-30,21126,WSH,4,OT,1
2021-01-31,21127,ANA,1,,0
2021-01-31,21128,BUF,3,,0
2021-01-31,21129,CAR,4,SO,1
2021-01-31,21130,CHI,3,,1
2021-01-31,21131,DET,2,,0
2021-01-31,21132,EDM,8,,1
2021-01-31,21133,MIN,4,OT,1
2021-01-31,21134,PHI,4,OT,1
2021-02-01,21135,MTL,6,,1
2021-02-01,21136,NYR,3,,1
2021-02-01,21137,TBL,5,,1
2021-02-01,21138,WPG,3,SO,0
2021-02-01,21139,WSH,3,,0
2021-02-02,21140,CBJ,3,,0
2021-02-02,21141,CHI,3,SO,0
2021-02-02,21142,COL,2,,1
2021-02-02,21143,EDM,4,,1
2021-02-02,21144,LAK,1,,0
2021-02-02,21145,MTL,5,,1
2021-02-02,21146,STL,4,,1
2021-02-02,21147,WPG,3,,1
2021-02-03,21148,PHI,3,OT,0
2021-02-03,21149,TBL,5,,1
2021-02-04,21150,CBJ,4,,1
2021-02-04,21151,CHI,6,,1
2021-02-04,21152,FLA,5,OT,0
2021-02-04,21153,MTL,2,,0
2021-02-04,21154,NYR,4,,1
2021-02-04,21155,STL,3,,0
2021-02-04,21156,TOR,7,,1
2021-02-04,21157,WPG,4,,1
2021-02-05,21158,ANA,4,SO,0
2021-02-05,21159,FLA,2,,1
2021-02-05,21160,PHI,1,,0
2021-02-05,21161,TBL,3,,1
2021-02-05,21162,VGK,5,,1
2021-02-06,21163,ANA,2,SO,1
2021-02-06,21164,CGY,6,,1
2021-02-06,21165,NYI,4,,1
2021-02-06,21166,OTT,1,,0
2021-02-06,21167,STL,1,,0
2021-02-06,21168,TOR,5,,1
2021-02-07,21169,CBJ,5,,0
2021-02-07,21170,DAL,1,OT,0
2021-02-07,21171,FLA,1,,0
2021-02-07,21172,VGK,4,,1
2021-02-07,21173,WSH,4,,0
2021-02-08,21174,CBJ,3,,1
2021-02-08,21175,NSH,1,,0
2021-02-08,21176,NYR,0,,0
2021-02-08,21177,OTT,1,,0
2021-02-08,21178,STL,3,SO,0
2021-02-08,21179,TOR,3,,1
2021-02-09,21180,CGY,3,,1
2021-02-09,21181,DAL,1,OT,0
2021-02-09,21182,FLA,2,,1
2021-02-09,21183,LAK,3,SO,0
2021-02-09,21184,NSH,1,,0
2021-02-09,21185,OTT,2,,0
2021-02-09,21186,VGK,5,,1
2021-02-10,21187,MTL,2,,0
2021-02-10,21188,NYR,2,OT,0
2021-02-11,21189,CHI,5,,0
2021-02-11,21190,DAL,3,,0
2021-02-11,21191,FLA,5,,1
2021-02-11,21192,LAK,6,,1
2021-02-11,21193,MTL,0,,0
2021-02-11,21194,NSH,3,,1
2021-02-11,21195,NYI,3,SO,0
2021-02-11,21196,VAN,1,,0
2021-02-11,21197,VGK,0,,0
2021-02-11,21198,WPG,5,,1
2021-02-12,21199,ARI,1,,0
2021-02-12,21200,NYR,0,,0
2021-02-13,21201,ARI,4,OT,0
2021-02-13,21202,CHI,3,OT,1
2021-02-13,21203,DAL,3,SO,0
2021-02-13,21204,FLA,1,,0
2021-02-13,21205,NSH,2,,0
2021-02-13,21206,NYI,4,,1
2021-02-13,21207,SJS,1,,0
2021-02-13,21208,TOR,1,,0
2021-02-13,21209,VAN,3,,1
2021-02-13,21210,WPG,1,,0
2021-02-14,21211,PIT,6,,1
2021-02-14,21212,VGK,1,,1
2021-02-15,21213,ARI,1,,1
2021-02-15,21214,BUF,1,,0
2021-02-15,21215,CAR,7,,1
2021-02-15,21216,DET,2,OT,0
2021-02-15,21217,EDM,5,,0
2021-02-15,21218,SJS,3,,1
2021-02-15,21219,TBL,4,,0
2021-02-15,21220,TOR,5,OT,0
2021-02-15,21221,VAN,3,OT,0
2021-02-16,21222,BUF,0,,0
2021-02-16,21223,LAK,4,,1
2021-02-16,21224,NYR,2,,0
2021-02-16,21225,PIT,1,,0
2021-02-16,21226,VGK,2,,0
2021-02-17,21227,CAR,3,OT,0
2021-02-17,21228,CGY,1,,0
2021-02-17,21229,DET,0,,0
2021-02-17,21230,EDM,3,,1
2021-02-17,21231,TOR,2,,1
2021-02-18,21232,ANA,1,,0
2021-02-18,21233,ARI,2,SO,0
2021-02-18,21234,BOS,2,,0
2021-02-18,21235,CBJ,3,,1
2021-02-18,21236,PHI,2,SO,0
2021-02-18,21237,PIT,4,,1
2021-02-18,21238,STL,3,OT,1
2021-02-18,21239,TOR,7,,1
2021-02-18,21240,WSH,3,,1
2021-02-19,21241,CAR,5,,1
2021-02-19,21242,CGY,1,,0
2021-02-19,21243,DET,2,,0
2021-02-19,21244,VAN,0,,0
2021-02-20,21245,ANA,1,,0
2021-02-20,21246,ARI,2,,0
2021-02-20,21247,CAR,4,,1
2021-02-20,21248,CBJ,2,,0
2021-02-20,21249,COL,3,,1
2021-02-20,21250,DET,2,,1
2021-02-20,21251,EDM,7,,1
2021-02-20,21252,MTL,3,,0
2021-02-20,21253,NJD,2,,0
2021-02-20,21254,PIT,3,,1
2021-02-20,21255,STL,4,,0
2021-02-20,21256,WSH,1,,0
2021-02-21,21257,BOS,7,,1
2021-02-21,21258,OTT,3,OT,1
2021-02-21,21259,VAN,3,OT,0
2021-02-21,21260,WSH,4,,1
2021-02-22,21261,ARI,4,,1
2021-02-22,21262,CAR,2,,0
2021-02-22,21263,COL,0,,0
2021-02-22,21264,FLA,3,,1
2021-02-22,21265,NYI,3,,1
2021-02-22,21266,SJS,2,,0
2021-02-22,21267,STL,0,,0
2021-02-22,21268,TOR,0,,0
2021-02-23,21269,CBJ,5,SO,0
2021-02-23,21270,DET,0,,0
2021-02-23,21271,NJD,1,,0
2021-02-23,21272,OTT,5,SO,1
2021-02-23,21273,VAN,3,,0
2021-02-23,21274,WSH,2,OT,0
2021-02-24,21275,ARI,4,SO,1
2021-02-24,21276,COL,2,,0
2021-02-24,21277,FLA,0,,0
2021-02-24,21278,PHI,4,,1
2021-02-24,21279,STL,1,,0
2021-02-24,21280,TBL,3,,1
2021-02-24,21281,TOR,2,OT,1
2021-02-25,21282,BUF,3,OT,0
2021-02-25,21283,CBJ,0,,0
2021-02-25,21284,DET,5,,1
2021-02-25,21285,FLA,3,,1
2021-02-25,21286,NYI,7,,1
2021-02-25,21287,OTT,6,,1
2021-02-25,21288,TBL,3,,1
2021-02-25,21289,VAN,0,,0
2021-02-25,21290,WPG,6,,1
2021-02-25,21291,WSH,5,,1
2021-02-26,21292,ARI,2,,0
2021-02-26,21293,MIN,3,,1
2021-02-26,21294,NYR,6,,1
2021-02-27,21295,ANA,2,OT,0
2021-02-27,21296,ARI,2,,0
2021-02-27,21297,BUF,0,,0
2021-02-27,21298,CHI,3,,0
2021-02-27,21299,EDM,0,,0
2021-02-27,21300,FLA,3,SO,0
2021-02-27,21301,MIN,4,OT,1
2021-02-27,21302,NJD,2,,0
2021-02-27,21303,NSH,2,,1
2021-02-27,21304,NYI,3,OT,0
2021-02-27,21305,OTT,3,,0
2021-02-27,21306,SJS,6,,0
2021-02-27,21307,TBL,5,,1
2021-02-27,21308,WPG,2,OT,1
2021-02-28,21309,BUF,0,,0
2021-02-28,21310,CHI,7,,1
2021-02-28,21311,NJD,2,,0
2021-02-28,21312,NSH,3,,1
2021-02-28,21313,NYI,2,,1
2021-02-28,21314,NYR,1,,0
2021-03-01,21315,ANA,4,,0
2021-03-01,21316,EDM,0,,0
2021-03-01,21317,FLA,2,OT,0
2021-03-01,21318,OTT,5,,1
2021-03-01,21319,SJS,6,,1
2021-03-01,21320,VGK,5,OT,1
2021-03-01,21321,WPG,0,,0
2021-03-02,21322,CBJ,4,,1
2021-03-02,21323,DAL,0,,0
2021-03-02,21324,MTL,3,,1
2021-03-02,21325,NJD,1,,0
2021-03-02,21326,NSH,2,,0
2021-03-02,21327,NYR,3,,1
2021-03-02,21328,PIT,5,,1
2021-03-02,21329,WPG,5,,1
2021-03-03,21330,ANA,2,,0
2021-03-03,21331,BOS,1,SO,0
2021-03-03,21332,EDM,1,,0
2021-03-03,21333,LAK,2,,0
2021-03-03,21334,SJS,0,,0
2021-03-03,21335,VGK,5,,1
2021-03-04,21336,CAR,5,,1
2021-03-04,21337,CGY,7,,1
2021-03-04,21338,CHI,2,OT,0
2021-03-04,21339,DAL,2,,0
2021-03-04,21340,MTL,3,OT,0
2021-03-04,21341,NJD,1,,0
2021-03-04,21342,NSH,4,,0
2021-03-04,21343,NYI,5,,1
2021-03-04,21344,PIT,3,,0
2021-03-04,21345,VAN,3,,1
2021-03-05,21346,ARI,1,,0
2021-03-05,21347,BOS,5,,1
2021-03-05,21348,CHI,4,SO,1
2021-03-05,21349,COL,3,OT,1
2021-03-05,21350,LAK,2,OT,0
2021-03-05,21351,SJS,4,OT,0
2021-03-06,21352,ARI,5,,1
2021-03-06,21353,COL,4,OT,0
2021-03-06,21354,DAL,5,,1
2021-03-06,21355,EDM,3,,1
2021-03-06,21356,LAK,4,OT,1
2021-03-06,21357,MTL,7,,1
2021-03-06,21358,NJD,3,,0
2021-03-06,21359,NSH,2,,0
2021-03-06,21360,NYI,5,,1
2021-03-06,21361,PIT,4,,1
2021-03-06,21362,SJS,0,,0
2021-03-06,21363,VAN,4,,1
2021-03-07,21364,BOS,0,,0
2021-03-07,21365,CAR,4,,1
2021-03-07,21366,CGY,3,SO,0
2021-03-07,21367,CHI,3,,0
2021-03-07,21368,DAL,3,SO,0
2021-03-07,21369,NYI,5,,1
2021-03-07,21370,PHI,1,,0
2021-03-07,21371,PIT,5,,1
2021-03-08,21372,ANA,6,OT,1
2021-03-08,21373,COL,2,,0
2021-03-08,21374,EDM,3,,1
2021-03-08,21375,MIN,2,,1
2021-03-08,21376,SJS,3,OT,1
2021-03-08,21377,VAN,2,SO,1
2021-03-09,21378,CAR,3,OT,1
2021-03-09,21379,CBJ,2,,0
2021-03-09,21380,DAL,6,,1
2021-03-09,21381,DET,3,OT,0
2021-03-09,21382,NYI,2,SO,1
2021-03-09,21383,PHI,5,SO,1
2021-03-09,21384,PIT,4,,1
2021-03-09,21385,TOR,3,,0
2021-03-09,21386,WSH,5,OT,1
2021-03-10,21387,ANA,1,,0
2021-03-10,21388,COL,2,OT,1
2021-03-10,21389,EDM,7,,1
2021-03-10,21390,MIN,4,,1
2021-03-10,21391,VAN,1,,0
2021-03-11,21392,BOS,4,,1
2021-03-11,21393,BUF,2,,0
2021-03-11,21394,CAR,5,,1
2021-03-11,21395,CBJ,4,OT,0
2021-03-11,21396,CGY,2,,1
2021-03-11,21397,DAL,2,,0
2021-03-11,21398,DET,6,,1
2021-03-11,21399,NYI,5,,1
2021-03-11,21400,PHI,3,,0
2021-03-11,21401,TOR,4,OT,1
2021-03-12,21402,ANA,0,,0
2021-03-12,21403,COL,2,,1
2021-03-12,21404,EDM,6,,1
2021-03-12,21405,MIN,4,,1
2021-03-12,21406,STL,4,OT,0
2021-03-13,21407,ANA,1,,0
2021-03-13,21408,BOS,0,,0
2021-03-13,21409,BUF,0,,0
2021-03-13,21410,CBJ,4,OT,1
2021-03-13,21411,CGY,3,,1
2021-03-13,21412,FLA,4,,1
2021-03-13,21413,NJD,2,,0
2021-03-13,21414,PHI,4,,0
2021-03-13,21415,STL,1,,0
2021-03-13,21416,TBL,6,,1
2021-03-13,21417,TOR,2,,0
2021-03-13,21418,VAN,2,,1
2021-03-14,21419,CBJ,1,SO,0
2021-03-14,21420,COL,4,,1
2021-03-14,21421,DET,1,,0
2021-03-14,21422,MIN,4,,1
2021-03-14,21423,NJD,2,SO,0
2021-03-14,21424,OTT,4,,1
2021-03-15,21425,BUF,0,,0
2021-03-15,21426,CGY,4,,1
2021-03-15,21427,FLA,6,,1
2021-03-15,21428,NYR,4,OT,0
2021-03-15,21429,OTT,2,OT,0
2021-03-15,21430,PIT,4,,1
2021-03-15,21431,TBL,1,,0
2021-03-15,21432,VGK,2,,1
2021-03-15,21433,WPG,2,,0
2021-03-16,21434,COL,8,,1
2021-03-16,21435,DAL,3,SO,0
2021-03-16,21436,DET,4,,1
2021-03-16,21437,MIN,3,,1
2021-03-16,21438,NJD,3,,1
2021-03-16,21439,PIT,1,,0
2021-03-16,21440,WSH,3,,1
2021-03-17,21441,CGY,3,,0
2021-03-17,21442,LAK,4,,1
2021-03-17,21443,NYR,9,,1
2021-03-17,21444,OTT,2,SO,0
2021-03-17,21445,VGK,5,,1
2021-03-17,21446,WPG,4,OT,1
2021-03-18,21447,ANA,3,OT,1
2021-03-18,21448,BUF,1,,0
2021-03-18,21449,CAR,2,OT,0
2021-03-18,21450,COL,5,,1
2021-03-18,21451,DET,3,,1
2021-03-18,21452,EDM,2,,1
2021-03-18,21453,FLA,1,,0
2021-03-18,21454,NJD,3,,1
2021-03-18,21455,NYI,3,,0
2021-03-18,21456,TBL,4,,1
2021-03-19,21457,LAK,2,,0
2021-03-19,21458,MTL,2,OT,0
2021-03-19,21459,SJS,1,SO,0
2021-03-19,21460,TOR,3,,0
2021-03-19,21461,WSH,2,,1
2021-03-20,21462,ANA,1,,0
2021-03-20,21463,CAR,2,SO,0
2021-03-20,21464,COL,6,,1
2021-03-20,21465,DET,0,,0
2021-03-20,21466,EDM,4,,1
2021-03-20,21467,FLA,2,,1
2021-03-20,21468,MTL,5,SO,1
2021-03-20,21469,NJD,1,,0
2021-03-20,21470,NYI,6,,1
2021-03-20,21471,SJS,2,,0
2021-03-20,21472,TBL,4,,1
2021-03-20,21473,TOR,2,,1
2021-03-20,21474,WSH,1,,0
2021-03-21,21475,DAL,3,SO,0
2021-03-21,21476,LAK,3,,1
2021-03-21,21477,PIT,1,OT,0
2021-03-21,21478,TBL,5,,1
2021-03-22,21479,ARI,1,,0
2021-03-22,21480,CBJ,0,,0
2021-03-22,21481,MIN,2,,1
2021-03-22,21482,NYR,5,,1
2021-03-22,21483,OTT,2,,1
2021-03-22,21484,PHI,1,OT,0
2021-03-22,21485,SJS,2,,1
2021-03-22,21486,VAN,0,,0
2021-03-22,21487,VGK,5,,1
2021-03-23,21488,ARI,5,SO,1
2021-03-23,21489,CHI,3,,1
2021-03-23,21490,DAL,1,,0
2021-03-23,21491,NSH,2,,1
2021-03-23,21492,PHI,3,,0
2021-03-24,21493,MIN,3,,1
2021-03-24,21494,OTT,3,,1
2021-03-24,21495,PIT,5,,1
2021-03-24,21496,SJS,4,,1
2021-03-24,21497,VAN,1,,0
2021-03-25,21498,BOS,3,OT,0
2021-03-25,21499,CBJ,3,OT,0
2021-03-25,21500,CHI,3,,1
2021-03-25,21501,COL,5,,1
2021-03-25,21502,DAL,4,,1
2021-03-25,21503,MIN,2,,1
2021-03-25,21504,NSH,7,,1
2021-03-25,21505,OTT,2,OT,0
2021-03-25,21506,PHI,3,,0
2021-03-25,21507,PIT,4,,1
2021-03-25,21508,WSH,4,,1
2021-03-26,21509,ARI,5,,1
2021-03-26,21510,CGY,2,,0
2021-03-26,21511,STL,1,,0
2021-03-26,21512,WSH,4,,1
2021-03-27,21513,ARI,4,,1
2021-03-27,21514,BOS,3,,1
2021-03-27,21515,CAR,4,,1
2021-03-27,21516,CGY,4,,1
2021-03-27,21517,CHI,1,,0
2021-03-27,21518,COL,2,OT,0
2021-03-27,21519,DAL,3,OT,0
2021-03-27,21520,DET,3,,1
2021-03-27,21521,PHI,2,,1
2021-03-27,21522,PIT,6,,1
2021-03-27,21523,TOR,4,OT,1
2021-03-28,21524,BOS,0,,0
2021-03-28,21525,CHI,2,,0
2021-03-28,21526,DAL,1,,0
2021-03-28,21527,DET,4,,1
2021-03-28,21528,STL,2,OT,0
2021-03-28,21529,WSH,5,,1
2021-03-29,21530,BUF,3,OT,0
2021-03-29,21531,CGY,1,,0
2021-03-29,21532,COL,5,,1
2021-03-29,21533,PIT,2,,1
2021-03-29,21534,SJS,4,SO,1
2021-03-29,21535,TOR,2,OT,0
2021-03-29,21536,VGK,4,,1
2021-03-30,21537,BOS,5,SO,1
2021-03-30,21538,CHI,2,,1
2021-03-30,21539,FLA,4,,1
2021-03-30,21540,MTL,4,,1
2021-03-30,21541,NSH,3,OT,1
2021-03-30,21542,NYR,5,,1
2021-03-30,21543,TBL,1,,0
2021-03-31,21544,BUF,6,,1
2021-03-31,21545,COL,9,,1
2021-03-31,21546,SJS,4,,1
2021-03-31,21547,VGK,2,,0
2021-03-31,21548,WPG,1,,0
2021-04-01,21549,BOS,1,,0
2021-04-01,21550,BUF,2,OT,0
2021-04-01,21551,CHI,3,,0
2021-04-01,21552,FLA,3,OT,1
2021-04-01,21553,NSH,1,,0
2021-04-01,21554,NYI,8,,1
2021-04-01,21555,OTT,1,,0
2021-04-01,21556,TBL,3,,1
2021-04-01,21557,VGK,2,SO,0
2021-04-02,21558,ANA,2,,0
2021-04-02,21559,COL,3,,1
2021-04-02,21560,EDM,3,,1
2021-04-02,21561,LAK,0,,0
2021-04-02,21562,NJD,1,OT,0
2021-04-02,21563,WPG,1,SO,0
2021-04-03,21564,BOS,7,,1
2021-04-03,21565,BUF,3,SO,1
2021-04-03,21566,CAR,2,,0
2021-04-03,21567,COL,2,,1
2021-04-03,21568,FLA,5,,1
2021-04-03,21569,LAK,2,,0
2021-04-03,21570,MTL,3,,0
2021-04-03,21571,NSH,3,,1
2021-04-03,21572,NYI,3,SO,1
2021-04-03,21573,TBL,2,,1
2021-04-03,21574,VGK,1,,0
2021-04-04,21575,ANA,2,OT,0
2021-04-04,21576,CAR,1,,1
2021-04-04,21577,CGY,2,,0
2021-04-04,21578,FLA,3,,1
2021-04-04,21579,NJD,4,,0
2021-04-04,21580,TBL,1,,0
2021-04-05,21581,BOS,2,OT,0
2021-04-05,21582,CGY,3,,0
2021-04-05,21583,LAK,2,,0
2021-04-05,21584,MIN,4,,0
2021-04-05,21585,MTL,3,OT,1
2021-04-05,21586,STL,1,,0
2021-04-05,21587,WPG,4,,1
2021-04-06,21588,CAR,5,,1
2021-04-06,21589,CBJ,4,,1
2021-04-06,21590,CHI,4,,1
2021-04-06,21591,DET,2,SO,0
2021-04-06,21592,NJD,3,,0
2021-04-06,21593,NYI,1,,1
2021-04-06,21594,NYR,8,,1
2021-04-06,21595,PHI,2,,0
2021-04-06,21596,SJS,1,,0
2021-04-07,21597,LAK,4,,1
2021-04-07,21598,MIN,8,,1
2021-04-07,21599,OTT,2,,0
2021-04-07,21600,STL,3,,1
2021-04-07,21601,TOR,3,,1
2021-04-08,21602,BUF,3,,0
2021-04-08,21603,CAR,3,,1
2021-04-08,21604,CBJ,4,,0
2021-04-08,21605,CHI,1,,0
2021-04-08,21606,DET,1,,0
2021-04-08,21607,MTL,2,,0
2021-04-08,21608,NYI,3,SO,1
2021-04-08,21609,NYR,2,,0
2021-04-08,21610,OTT,1,,0
2021-04-08,21611,WSH,2,,0
2021-04-09,21612,ANA,0,,0
2021-04-09,21613,BUF,3,,0
2021-04-09,21614,NJD,4,,0
2021-04-09,21615,NYI,1,,0
2021-04-09,21616,SJS,5,,1
2021-04-09,21617,STL,9,,1
2021-04-09,21618,VGK,7,,1
2021-04-10,21619,CAR,4,SO,0
2021-04-10,21620,CBJ,3,,0
2021-04-10,21621,CGY,5,,1
2021-04-10,21622,DAL,4,,1
2021-04-10,21623,MTL,0,,0
2021-04-10,21624,NSH,0,,0
2021-04-10,21625,PHI,3,,1
2021-04-10,21626,SJS,2,,0
2021-04-10,21627,STL,3,OT,1
2021-04-10,21628,TOR,6,,1
2021-04-11,21629,ANA,1,,0
2021-04-11,21630,BOS,1,,0
2021-04-11,21631,NJD,2,,0
2021-04-11,21632,NSH,3,SO,1
2021-04-11,21633,NYI,3,OT,1
2021-04-11,21634,PHI,3,,0
2021-04-11,21635,VGK,1,,1
2021-04-12,21636,CAR,1,,0
2021-04-12,21637,CBJ,3,OT,0
2021-04-12,21638,COL,4,,1
2021-04-12,21639,LAK,2,,0
2021-04-12,21640,MTL,4,,1
2021-04-12,21641,OTT,4,,1
2021-04-12,21642,SJS,0,,0
2021-04-13,21643,BOS,3,SO,1
2021-04-13,21644,DAL,2,OT,0
2021-04-13,21645,NJD,0,,0
2021-04-13,21646,NSH,7,,1
2021-04-13,21647,TOR,2,OT,0
2021-04-13,21648,WSH,6,,1
2021-04-14,21649,LAK,2,,0
2021-04-14,21650,MIN,5,,1
2021-04-14,21651,MTL,1,,0
2021-04-14,21652,OTT,2,,0
2021-04-14,21653,SJS,1,,0
2021-04-14,21654,STL,3,,0
2021-04-15,21655,BOS,4,,1
2021-04-15,21656,CAR,4,,1
2021-04-15,21657,DAL,4,,1
2021-04-15,21658,DET,4,,1
2021-04-15,21659,NYR,4,,1
2021-04-15,21660,PIT,1,SO,0
