player_id,player_name,age,season,game_num,date,team,opponent,home_away_status,result,decision,GA,SA,SV,SV_perc,shutout,PIM,TOI
/b/binnijo01,Jordan Binnington,27,2021,11,2021-02-12,STL,ARI,0,W,W,1,25,24,0.96,0,0,58.6
/b/binnijo01,Jordan Binnington,27,2021,12,2021-02-15,STL,ARI,0,L,L,1,19,18,0.947,0,0,58.91666666666666
/b/binnijo01,Jordan Binnington,27,2021,13,2021-02-18,STL,SJS,1,W,W,2,32,30,0.938,0,0,62.56666666666667
/b/binnijo01,Jordan Binnington,27,2021,14,2021-02-20,STL,SJS,1,L,L,5,27,22,0.815,0,0,58.15
/b/binnijo01,Jordan Binnington,27,2021,15,2021-02-22,STL,LAK,1,L,L,2,30,28,0.933,0,0,58.23333333333333
/b/binnijo01,Jordan Binnington,27,2021,16,2021-02-24,STL,LAK,1,L,L,2,20,18,0.9,0,0,53.2
/b/binnijo01,Jordan Binnington,27,2021,17,2021-02-27,STL,SJS,0,W,,4,19,15,0.789,0,2,30.566666666666663
/b/binnijo01,Jordan Binnington,27,2021,18,2021-03-03,STL,ANA,0,W,W,2,29,27,0.931,0,0,59.65
/b/binnijo01,Jordan Binnington,27,2021,19,2021-03-06,STL,LAK,0,L-OT,O,4,34,30,0.882,0,0,61.75
/b/binnijo01,Jordan Binnington,27,2021,20,2021-03-12,STL,VGK,1,L-OT,O,5,40,35,0.875,0,0,62.33333333333334
/b/binnijo01,Jordan Binnington,27,2021,21,2021-03-17,STL,LAK,0,L,L,3,23,20,0.87,0,0,57.96666666666667
/b/binnijo01,Jordan Binnington,27,2021,22,2021-03-19,STL,SJS,0,W,W,1,31,30,0.968,0,0,65.0
/b/binnijo01,Jordan Binnington,27,2021,23,2021-03-22,STL,VGK,0,L,L,5,35,30,0.857,0,0,60.0
/b/binnijo01,Jordan Binnington,27,2021,24,2021-03-25,STL,MIN,0,L,L,2,11,9,0.818,0,0,56.56666666666667
/b/binnijo01,Jordan Binnington,27,2021,25,2021-03-26,STL,ANA,1,L,L,2,22,20,0.909,0,0,57.56666666666667
/b/binnijo01,Jordan Binnington,27,2021,26,2021-03-28,STL,ANA,1,L-OT,O,3,24,21,0.875,0,0,61.7
/b/binnijo01,Jordan Binnington,27,2021,27,2021-04-02,STL,COL,0,L,L,3,39,36,0.923,0,0,58.4
/b/binnijo01,Jordan Binnington,27,2021,28,2021-04-05,STL,VGK,1,L,,1,14,13,0.929,0,0,30.88333333333333
/b/binnijo01,Jordan Binnington,27,2021,29,2021-04-07,STL,VGK,1,W,W,1,51,50,0.98,0,0,60.0
/b/binnijo01,Jordan Binnington,27,2021,30,2021-04-09,STL,MIN,1,W,W,1,25,24,0.96,0,0,60.0
/b/binnijo01,Jordan Binnington,27,2021,31,2021-04-14,STL,COL,1,L,L,4,28,24,0.857,0,0,57.23333333333333
/b/binnijo01,Jordan Binnington,27,2021,32,2021-04-17,STL,ARI,0,L,L,3,29,26,0.897,0,0,57.83333333333334
/b/binnijo01,Jordan Binnington,27,2021,33,2021-04-22,STL,COL,1,L,L,3,28,25,0.893,0,0,59.03333333333333
/b/binnijo01,Jordan Binnington,27,2021,34,2021-04-24,STL,COL,1,W,W,3,31,28,0.903,0,0,59.3
/b/binnijo01,Jordan Binnington,27,2021,35,2021-04-26,STL,COL,1,W,W,1,32,31,0.969,0,0,59.93333333333333
/b/binnijo01,Jordan Binnington,27,2021,36,2021-04-28,STL,MIN,0,W,W,3,29,26,0.897,0,0,60.0
/b/binnijo01,Jordan Binnington,27,2021,37,2021-05-01,STL,MIN,0,L-OT,O,4,38,34,0.895,0,0,61.83333333333334
/b/binnijo01,Jordan Binnington,27,2021,38,2021-05-03,STL,ANA,1,W,W,1,20,19,0.95,0,0,60.0
/b/binnijo01,Jordan Binnington,27,2021,39,2021-05-05,STL,ANA,1,L-SO,O,2,35,33,0.943,0,0,64.86666666666666
/b/binnijo01,Jordan Binnington,27,2021,40,2021-05-07,STL,VGK,0,L-OT,O,4,35,31,0.8859999999999999,0,0,64.7
/b/binnijo01,Jordan Binnington,27,2021,41,2021-05-10,STL,LAK,0,W,W,1,27,26,0.963,0,0,60.76666666666666
/b/binnijo01,Jordan Binnington,27,2021,42,2021-05-13,STL,MIN,1,W,W,3,20,17,0.85,0,0,59.78333333333333
/b/blackma01,Mackenzie Blackwood,24,2021,1,2021-01-14,NJD,BOS,1,L-SO,O,2,37,35,0.946,0,0,65.0
/b/blackma01,Mackenzie Blackwood,24,2021,2,2021-01-16,NJD,BOS,1,W,W,1,28,27,0.964,0,0,64.96666666666667
/b/blackma01,Mackenzie Blackwood,24,2021,3,2021-01-19,NJD,NYR,0,W,W,3,50,47,0.94,0,0,60.0
/b/blackma01,Mackenzie Blackwood,24,2021,4,2021-02-16,NJD,NYR,0,W,W,2,39,37,0.949,0,0,60.0
/b/blackma01,Mackenzie Blackwood,24,2021,5,2021-02-18,NJD,BOS,0,W,W,2,27,25,0.926,0,0,60.0
/b/blackma01,Mackenzie Blackwood,24,2021,6,2021-02-20,NJD,BUF,1,L,L,3,29,26,0.897,0,0,58.76666666666666
/b/blackma01,Mackenzie Blackwood,24,2021,7,2021-02-23,NJD,BUF,1,L,L,3,36,33,0.917,0,0,57.55
