date_game,team,ml_odds
2021-02-13,STL,-128
2021-02-13,ARI,108
2021-02-13,BOS,-140
2021-02-13,NYI,120
2021-02-13,TBL,-150
2021-02-13,FLA,130
2021-02-13,MTL,-105
2021-02-13,TOR,-115
2021-02-13,DET,151
2021-02-13,NSH,-175
2021-02-13,CAR,-123
2021-02-13,DAL,103
2021-02-13,CBJ,-105
2021-02-13,CHI,-115
2021-02-13,CGY,-130
2021-02-13,VAN,110
2021-02-13,VGK,-170
2021-02-13,SJS,148
2021-02-14,WSH,-104
2021-02-14,PIT,-116
2021-02-14,COL,-101
2021-02-14,VGK,-119
2021-02-15,STL,-125
2021-02-15,ARI,105
2021-02-15,NYI,-145
2021-02-15,BUF,125
2021-02-15,OTT,234
2021-02-15,TOR,-285
2021-02-15,CHI,-137
2021-02-15,DET,117
2021-02-15,WPG,108
2021-02-15,EDM,-128
2021-02-15,CGY,-130
2021-02-15,VAN,110
2021-02-15,ANA,-107
2021-02-15,SJS,-113
2021-02-15,CBJ,157
2021-02-15,CAR,-182
2021-02-15,FLA,144
2021-02-15,TBL,-165
2021-02-16,NYI,-125
2021-02-16,BUF,105
2021-02-16,WSH,105
2021-02-16,PIT,-125
2021-02-16,MIN,-125
2021-02-16,LAK,105
2021-02-16,COL,-105
2021-02-16,VGK,-115
2021-02-16,NJD,120
2021-02-16,NYR,-140
2021-02-17,OTT,252
2021-02-17,TOR,-310
2021-02-17,CHI,-130
2021-02-17,DET,110
2021-02-17,VAN,135
2021-02-17,CGY,-155
2021-02-17,WPG,120
2021-02-17,EDM,-140
2021-02-17,FLA,135
2021-02-17,CAR,-155
2021-02-18,OTT,256
2021-02-18,TOR,-315
2021-02-18,NYI,100
2021-02-18,PIT,-120
2021-02-18,NJD,199
2021-02-18,BOS,-240
2021-02-18,NSH,-105
2021-02-18,CBJ,-115
2021-02-18,NYR,130
2021-02-18,PHI,-150
2021-02-18,SJS,180
2021-02-18,STL,-215
2021-02-18,LAK,140
2021-02-18,ARI,-160
2021-02-18,MIN,-128
2021-02-18,ANA,108
2021-02-18,BUF,151
2021-02-18,WSH,-175
2021-02-19,CHI,172
2021-02-19,CAR,-205
2021-02-19,FLA,-175
2021-02-19,DET,151
2021-02-19,EDM,-107
2021-02-19,CGY,-113
2021-02-19,WPG,-107
2021-02-19,VAN,-113
2021-02-20,BUF,102
2021-02-20,NJD,-122
2021-02-20,VGK,-107
2021-02-20,COL,-113
2021-02-20,NYI,100
2021-02-20,PIT,-120
2021-02-20,TOR,-112
2021-02-20,MTL,-108
2021-02-20,NYR,122
2021-02-20,WSH,-142
2021-02-20,NSH,105
2021-02-20,CBJ,-125
2021-02-20,LAK,146
2021-02-20,ARI,-167
2021-02-20,SJS,155
2021-02-20,STL,-180
2021-02-20,MIN,-135
2021-02-20,ANA,115
2021-02-20,CGY,100
2021-02-20,EDM,-120
2021-02-20,FLA,-175
2021-02-20,DET,151
2021-02-20,TBL,-153
2021-02-20,CAR,133
2021-02-21,PHI,163
2021-02-21,BOS,-190
2021-02-21,MTL,-225
2021-02-21,OTT,188
2021-02-21,WPG,-107
2021-02-21,VAN,-113
2021-02-21,NJD,144
2021-02-21,WSH,-165
2021-02-22,CGY,132
2021-02-22,TOR,-152
2021-02-22,LAK,148
2021-02-22,STL,-170
2021-02-22,VGK,110
2021-02-22,COL,-130
2021-02-22,ANA,135
2021-02-22,ARI,-155
2021-02-22,DAL,-110
2021-02-22,FLA,-110
2021-02-22,BUF,135
2021-02-22,NYI,-155
2021-02-22,TBL,-122
2021-02-22,CAR,102
2021-02-22,MIN,-150
2021-02-22,SJS,130
2021-02-23,MTL,-225
2021-02-23,OTT,188
2021-02-23,PIT,105
2021-02-23,WSH,-125
2021-02-23,CHI,105
2021-02-23,CBJ,-125
2021-02-23,NSH,-160
2021-02-23,DET,140
2021-02-23,EDM,-125
2021-02-23,VAN,105
2021-02-23,BUF,105
2021-02-23,NJD,-125
2021-02-24,CGY,120
2021-02-24,TOR,-140
2021-02-24,NYR,100
2021-02-24,PHI,-120
2021-02-24,ANA,133
2021-02-24,ARI,-153
2021-02-24,LAK,140
2021-02-24,STL,-160
2021-02-24,CAR,118
2021-02-24,TBL,-138
2021-02-24,DAL,-108
2021-02-24,FLA,-112
2021-02-24,MIN,148
2021-02-24,COL,-170
2021-02-25,CHI,-
2021-02-25,CBJ,-
2021-02-25,DAL,110
2021-02-25,FLA,-130
2021-02-25,CAR,123
2021-02-25,TBL,-143
2021-02-25,PIT,-110
2021-02-25,WSH,-110
2021-02-25,CGY,-150
2021-02-25,OTT,130
2021-02-25,BOS,-128
2021-02-25,NYI,108
2021-02-25,NSH,-145
2021-02-25,DET,125
2021-02-25,MTL,-115
2021-02-25,WPG,-105
2021-02-25,EDM,-128
2021-02-25,VAN,108
2021-02-25,NJD,-115
2021-02-25,BUF,-105
2021-02-26,BOS,-166
2021-02-26,NYR,145
2021-02-26,LAK,151
2021-02-26,MIN,-175
2021-02-26,COL,-185
2021-02-26,ARI,160
2021-02-27,WSH,-135
2021-02-27,NJD,115
2021-02-27,CGY,-155
2021-02-27,OTT,135
2021-02-27,CBJ,113
2021-02-27,NSH,-133
2021-02-27,DAL,163
2021-02-27,TBL,-190
2021-02-27,TOR,-110
2021-02-27,EDM,-110
2021-02-27,CAR,-122
2021-02-27,FLA,102
2021-02-27,PIT,105
2021-02-27,NYI,-125
2021-02-27,DET,143
2021-02-27,CHI,-163
2021-02-27,LAK,152
2021-02-27,MIN,-177
2021-02-27,COL,-170
2021-02-27,ARI,148
2021-02-27,VGK,-215
2021-02-27,ANA,180
2021-02-27,MTL,-125
2021-02-27,WPG,105
2021-02-27,STL,-158
2021-02-27,SJS,138
2021-02-27,PHI,-143
2021-02-27,BUF,123
2021-02-28,BOS,-150
2021-02-28,NYR,130
2021-02-28,CBJ,110
2021-02-28,NSH,-130
2021-02-28,PHI,-165
2021-02-28,BUF,144
2021-02-28,PIT,-101
2021-02-28,NYI,-119
2021-02-28,DET,144
2021-02-28,CHI,-165
2021-02-28,WSH,-140
2021-02-28,NJD,120
2021-03-01,CGY,-165
2021-03-01,OTT,144
2021-03-01,CAR,-122
2021-03-01,FLA,102
2021-03-01,VAN,107
2021-03-01,WPG,-127
2021-03-01,STL,-155
2021-03-01,ANA,135
2021-03-01,TOR,-120
2021-03-01,EDM,100
2021-03-01,MIN,120
2021-03-01,VGK,-140
2021-03-01,COL,-185
2021-03-01,SJS,160
2021-03-02,BUF,130
2021-03-02,NYR,-150
2021-03-02,PHI,-105
2021-03-02,PIT,-115
2021-03-02,OTT,215
2021-03-02,MTL,-260
2021-03-02,DET,155
2021-03-02,CBJ,-180
2021-03-02,VAN,115
2021-03-02,WPG,-135
2021-03-02,NYI,-145
2021-03-02,NJD,125
2021-03-02,CAR,-126
2021-03-02,NSH,106
2021-03-02,TBL,-165
2021-03-02,DAL,144
2021-03-03,WSH,135
2021-03-03,BOS,-155
2021-03-03,TOR,-108
2021-03-03,EDM,-112
2021-03-03,STL,-155
2021-03-03,ANA,135
2021-03-03,MIN,130
2021-03-03,VGK,-150
2021-03-03,COL,-220
2021-03-03,SJS,184
2021-03-03,ARI,-117
2021-03-03,LAK,-103
2021-03-04,PHI,-125
2021-03-04,PIT,105
2021-03-04,DET,245
2021-03-04,CAR,-300
2021-03-04,WPG,133
2021-03-04,MTL,-153
2021-03-04,FLA,-132
2021-03-04,NSH,112
