Unnamed: 0,date_recorded,time_recorded,game_id,date_game,time_game,team,ml_odds
110.0,2023-02-20,10:06:07,56,2023-02-20,15:00:00,PHI Flyers,+195
111.0,2023-02-20,10:06:07,56,2023-02-20,15:00:00,CGY Flames,−230
112.0,2023-02-20,11:06:44,57,2023-02-20,18:00:00,WPG Jets,+150
113.0,2023-02-20,11:06:44,57,2023-02-20,18:00:00,NY Rangers,−175
114.0,2023-02-20,11:06:44,58,2023-02-20,18:00:00,NY Islanders,+130
115.0,2023-02-20,11:06:44,58,2023-02-20,18:00:00,PIT Penguins,−150
116.0,2023-02-21,10:13:59,59,2023-02-21,18:00:00,ANA Ducks,+430
117.0,2023-02-21,10:13:59,59,2023-02-21,18:00:00,TB Lightning,−560
118.0,2023-02-21,10:13:59,60,2023-02-21,18:00:00,STL Blues,+285
119.0,2023-02-21,10:13:59,60,2023-02-21,18:00:00,CAR Hurricanes,−345
120.0,2023-02-21,10:13:59,61,2023-02-21,18:00:00,MTL Canadiens,+290
121.0,2023-02-21,10:13:59,61,2023-02-21,18:00:00,NJ Devils,−350
122.0,2023-02-21,10:13:59,62,2023-02-21,18:00:00,DET Red Wings,+130
123.0,2023-02-21,10:13:59,62,2023-02-21,18:00:00,WAS Capitals,−150
124.0,2023-02-21,10:13:59,63,2023-02-21,18:30:00,TOR Maple Leafs,−170
125.0,2023-02-21,10:13:59,63,2023-02-21,18:30:00,BUF Sabres,+145
126.0,2023-02-21,10:13:59,64,2023-02-21,19:00:00,VAN Canucks,+140
127.0,2023-02-21,10:13:59,64,2023-02-21,19:00:00,NSH Predators,−165
128.0,2023-02-21,10:13:59,65,2023-02-21,19:00:00,LA Kings,+110
129.0,2023-02-21,10:13:59,65,2023-02-21,19:00:00,MIN Wild,−130
130.0,2023-02-21,10:13:59,66,2023-02-21,19:30:00,VGK Golden Knights,−295
131.0,2023-02-21,10:13:59,66,2023-02-21,19:30:00,CHI Blackhawks,+245
132.0,2023-02-21,10:13:59,67,2023-02-21,20:00:00,PHI Flyers,+250
133.0,2023-02-21,10:13:59,67,2023-02-21,20:00:00,EDM Oilers,−300
134.0,2023-02-22,09:58:00,68,2023-02-22,18:08:00,WPG Jets,−105
135.0,2023-02-22,09:58:00,68,2023-02-22,18:08:00,NY Islanders,−115
136.0,2023-02-22,09:58:00,69,2023-02-22,20:30:00,CHI Blackhawks,+340
137.0,2023-02-22,09:58:00,69,2023-02-22,20:30:00,DAL Stars,−425
138.0,2023-02-22,09:58:00,70,2023-02-22,20:38:00,CGY Flames,−205
139.0,2023-02-22,09:58:00,70,2023-02-22,20:38:00,ARI Coyotes,+175
140.0,2023-02-23,11:32:22,71,2023-02-23,18:00:00,BUF Sabres,+190
141.0,2023-02-23,11:32:22,71,2023-02-23,18:00:00,TB Lightning,−225
142.0,2023-02-23,11:32:22,72,2023-02-23,18:00:00,NY Rangers,−145
143.0,2023-02-23,11:32:22,72,2023-02-23,18:00:00,DET Red Wings,+125
144.0,2023-02-23,11:32:22,73,2023-02-23,18:00:00,MIN Wild,−180
145.0,2023-02-23,11:32:22,73,2023-02-23,18:00:00,CBJ Blue Jackets,+155
146.0,2023-02-23,11:32:22,74,2023-02-23,18:00:00,ANA Ducks,+260
147.0,2023-02-23,11:32:22,74,2023-02-23,18:00:00,WAS Capitals,−315
148.0,2023-02-23,11:32:22,75,2023-02-23,18:00:00,LA Kings,+120
149.0,2023-02-23,11:32:22,75,2023-02-23,18:00:00,NJ Devils,−140
150.0,2023-02-23,11:32:22,76,2023-02-23,18:00:00,EDM Oilers,−105
151.0,2023-02-23,11:32:22,76,2023-02-23,18:00:00,PIT Penguins,−115
152.0,2023-02-23,11:32:22,77,2023-02-23,19:00:00,VAN Canucks,+100
153.0,2023-02-23,11:32:22,77,2023-02-23,19:00:00,STL Blues,−120
154.0,2023-02-23,11:32:22,78,2023-02-23,20:00:00,CGY Flames,+110
155.0,2023-02-23,11:32:22,78,2023-02-23,20:00:00,VGK Golden Knights,−130
156.0,2023-02-23,11:32:22,79,2023-02-23,21:00:00,BOS Bruins,−180
157.0,2023-02-23,11:32:22,79,2023-02-23,21:00:00,SEA Kraken,+155
158.0,2023-02-23,11:32:22,80,2023-02-23,21:30:00,NSH Predators,−120
159.0,2023-02-23,11:32:22,80,2023-02-23,21:30:00,SJ Sharks,+100
160.0,2023-02-24,10:03:03,81,2023-02-24,18:00:00,MIN Wild,+170
161.0,2023-02-24,10:03:03,81,2023-02-24,18:00:00,TOR Maple Leafs,−200
162.0,2023-02-24,10:03:03,82,2023-02-24,18:00:00,BUF Sabres,+180
163.0,2023-02-24,10:03:03,82,2023-02-24,18:00:00,FLA Panthers,−210
164.0,2023-02-24,10:03:03,83,2023-02-24,18:08:00,OTT Senators,+215
165.0,2023-02-24,10:03:03,83,2023-02-24,18:08:00,CAR Hurricanes,−255
166.0,2023-02-24,10:03:03,84,2023-02-24,18:08:00,MTL Canadiens,+130
167.0,2023-02-24,10:03:03,84,2023-02-24,18:08:00,PHI Flyers,−150
168.0,2023-02-24,10:03:03,85,2023-02-24,18:30:00,LA Kings,+105
169.0,2023-02-24,10:03:03,85,2023-02-24,18:30:00,NY Islanders,−125
170.0,2023-02-24,10:03:03,86,2023-02-24,19:08:00,COL Avalanche,−110
171.0,2023-02-24,10:03:03,86,2023-02-24,19:08:00,WPG Jets,−110
172.0,2023-02-25,11:26:19,87,2023-02-25,11:30:00,EDM Oilers,−245
173.0,2023-02-25,11:26:19,87,2023-02-25,11:30:00,CBJ Blue Jackets,+205
174.0,2023-02-25,11:26:19,88,2023-02-25,12:00:00,NY Rangers,−145
