team,date_recorded,time_recorded,date_game,time_game,line,odds
PHI,2023-10-21,10:08:00,2023-10-21,19:00:00,1.5,-115
DAL,2023-10-21,10:08:00,2023-10-21,19:00:00,-1.5,-105
CBJ,2023-10-21,10:08:00,2023-10-21,19:00:00,1.5,-140
MIN,2023-10-21,10:08:00,2023-10-21,19:00:00,-1.5,110
PIT,2023-10-21,10:08:00,2023-10-21,19:00:00,-1.5,150
STL,2023-10-21,10:08:00,2023-10-21,19:00:00,1.5,-205
CAR,2023-10-21,10:08:00,2023-10-21,20:00:00,1.5,-220
COL,2023-10-21,10:08:00,2023-10-21,20:00:00,-1.5,160
WPG,2023-10-21,10:08:00,2023-10-21,21:00:00,1.5,-165
EDM,2023-10-21,10:08:00,2023-10-21,21:00:00,-1.5,130
NYR,2023-10-21,10:08:00,2023-10-21,21:00:00,-1.5,175
SEA,2023-10-21,10:08:00,2023-10-21,21:00:00,1.5,-240
BOS,2023-10-21,10:08:00,2023-10-21,21:30:00,-1.5,205
LAK,2023-10-21,10:08:00,2023-10-21,21:30:00,1.5,-290
CGY,2023-10-22,10:49:23,2023-10-22,16:07:00,-1.5,155
DET,2023-10-22,10:49:23,2023-10-22,16:07:00,1.5,-210
BOS,2023-10-22,10:49:23,2023-10-22,19:37:00,-1.5,100
ANA,2023-10-22,10:49:23,2023-10-22,19:37:00,1.5,-120
MTL,2023-10-23,10:43:10,2023-10-23,18:07:00,1.5,-150
BUF,2023-10-23,10:43:10,2023-10-23,18:07:00,-1.5,120
TOR,2023-10-24,10:02:37,2023-10-24,17:00:00,-1.5,135
WSH,2023-10-24,10:02:37,2023-10-24,17:00:00,1.5,-175
ANA,2023-10-24,10:02:37,2023-10-24,17:30:00,1.5,-195
CBJ,2023-10-24,10:02:37,2023-10-24,17:30:00,-1.5,145
BUF,2023-10-24,10:02:37,2023-10-24,17:45:00,1.5,-175
OTT,2023-10-24,10:02:37,2023-10-24,17:45:00,-1.5,135
CAR,2023-10-24,10:02:37,2023-10-24,18:00:00,-1.5,185
TBL,2023-10-24,10:02:37,2023-10-24,18:00:00,1.5,-260
NJD,2023-10-24,10:02:37,2023-10-24,18:15:00,-1.5,105
MTL,2023-10-24,10:02:37,2023-10-24,18:15:00,1.5,-130
