home,away,date_recorded,time_recorded,date_game,time_game,bet_type,line,odds
CAR,SJS,2023-10-27,07:38:41,2023-10-27,18:00:00,O,6.5,-105
CAR,SJS,2023-10-27,07:38:41,2023-10-27,18:00:00,U,6.5,-115
NJD,BUF,2023-10-27,07:38:41,2023-10-27,18:00:00,O,7.0,-110
NJD,BUF,2023-10-27,07:38:41,2023-10-27,18:00:00,U,7.0,-110
WSH,MIN,2023-10-27,07:38:41,2023-10-27,18:00:00,O,6.0,-120
WSH,MIN,2023-10-27,07:38:41,2023-10-27,18:00:00,U,6.0,100
ARI,LAK,2023-10-27,07:38:41,2023-10-27,21:00:00,O,6.5,-110
ARI,LAK,2023-10-27,07:38:41,2023-10-27,21:00:00,U,6.5,-110
VAN,STL,2023-10-27,07:38:41,2023-10-27,21:00:00,O,6.5,-115
VAN,STL,2023-10-27,07:38:41,2023-10-27,21:00:00,U,6.5,-105
PHI,ANA,2023-10-28,09:41:30,2023-10-28,12:00:00,O,6.0,-105
PHI,ANA,2023-10-28,09:41:30,2023-10-28,12:00:00,U,6.0,-115
FLA,SEA,2023-10-28,09:41:30,2023-10-28,17:00:00,O,6.5,-125
FLA,SEA,2023-10-28,09:41:30,2023-10-28,17:00:00,U,6.5,105
BOS,DET,2023-10-28,09:41:30,2023-10-28,18:00:00,O,6.0,100
BOS,DET,2023-10-28,09:41:30,2023-10-28,18:00:00,U,6.0,-120
NSH,TOR,2023-10-28,09:41:30,2023-10-28,18:00:00,O,6.0,-120
NSH,TOR,2023-10-28,09:41:30,2023-10-28,18:00:00,U,6.0,100
PIT,OTT,2023-10-28,09:41:30,2023-10-28,18:00:00,O,6.5,-130
PIT,OTT,2023-10-28,09:41:30,2023-10-28,18:00:00,U,6.5,110
MTL,WPG,2023-10-28,09:41:30,2023-10-28,18:00:00,O,6.5,100
MTL,WPG,2023-10-28,09:41:30,2023-10-28,18:00:00,U,6.5,-120
CBJ,NYI,2023-10-28,09:41:30,2023-10-28,18:00:00,O,6.0,-120
CBJ,NYI,2023-10-28,09:41:30,2023-10-28,18:00:00,U,6.0,100
VAN,NYR,2023-10-28,09:41:30,2023-10-28,21:00:00,O,6.0,100
VAN,NYR,2023-10-28,09:41:30,2023-10-28,21:00:00,U,6.0,-120
LAK,VGK,2023-10-28,09:41:30,2023-10-28,21:30:00,O,6.0,-120
LAK,VGK,2023-10-28,09:41:30,2023-10-28,21:30:00,U,6.0,100
BUF,COL,2023-10-29,08:37:11,2023-10-29,12:08:00,O,6.5,-130
BUF,COL,2023-10-29,08:37:11,2023-10-29,12:08:00,U,6.5,110
WSH,SJS,2023-10-29,08:37:11,2023-10-29,16:08:00,O,6.0,-108
WSH,SJS,2023-10-29,08:37:11,2023-10-29,16:08:00,U,6.0,-112
NJD,MIN,2023-10-29,08:37:11,2023-10-29,16:08:00,O,6.5,-125
